time,complete,open,high,low,close,volume
2024-06-25T20:30:00,True,1.07114,1.07146,1.07114,1.07139,157
2024-06-25T20:45:00,True,1.07137,1.07146,1.0713,1.07143,191
2024-06-25T21:00:00,True,1.0712,1.07147,1.0712,1.07144,108
2024-06-25T21:15:00,True,1.07144,1.07146,1.07125,1.07145,107
2024-06-25T21:30:00,True,1.07146,1.07151,1.07128,1.07134,89
2024-06-25T21:45:00,True,1.07134,1.0714,1.07124,1.07137,136
2024-06-25T22:00:00,True,1.0714,1.07154,1.07135,1.07142,183
2024-06-25T22:15:00,True,1.07144,1.07152,1.07142,1.07148,56
2024-06-25T22:30:00,True,1.07151,1.07151,1.07136,1.07138,127
2024-06-25T22:45:00,True,1.07136,1.07137,1.07123,1.07123,117
2024-06-25T23:00:00,True,1.07125,1.07125,1.07102,1.07104,191
2024-06-25T23:15:00,True,1.07104,1.0711,1.07098,1.07098,205
2024-06-25T23:30:00,True,1.07098,1.07103,1.07098,1.071,146
2024-06-25T23:45:00,True,1.07102,1.07102,1.0709,1.07092,210
2024-06-26T00:00:00,True,1.07091,1.07092,1.07062,1.07069,502
2024-06-26T00:15:00,True,1.0707,1.07104,1.07065,1.07098,486
2024-06-26T00:30:00,True,1.07098,1.07104,1.07084,1.071,308
2024-06-26T00:45:00,True,1.07099,1.07126,1.07088,1.07115,501
2024-06-26T01:00:00,True,1.07113,1.07148,1.07113,1.07137,401
2024-06-26T01:15:00,True,1.07138,1.0716,1.07133,1.07135,611
2024-06-26T01:30:00,True,1.07136,1.07167,1.07108,1.07136,961
2024-06-26T01:45:00,True,1.07134,1.07162,1.07131,1.0716,655
2024-06-26T02:00:00,True,1.0716,1.0718,1.07148,1.07153,504
2024-06-26T02:15:00,True,1.07154,1.07175,1.07153,1.07153,463
2024-06-26T02:30:00,True,1.07154,1.07156,1.0712,1.0712,316
2024-06-26T02:45:00,True,1.07121,1.07121,1.07088,1.07101,385
2024-06-26T03:00:00,True,1.071,1.07111,1.07094,1.07105,416
2024-06-26T03:15:00,True,1.07106,1.0712,1.07104,1.07116,368
2024-06-26T03:30:00,True,1.07116,1.07126,1.07116,1.0712,266
2024-06-26T03:45:00,True,1.0712,1.0712,1.071,1.0711,249
2024-06-26T04:00:00,True,1.07108,1.07108,1.07074,1.07098,251
2024-06-26T04:15:00,True,1.07099,1.07115,1.07098,1.07115,203
2024-06-26T04:30:00,True,1.07114,1.07115,1.07092,1.071,387
2024-06-26T04:45:00,True,1.07099,1.07116,1.07092,1.07106,326
2024-06-26T05:00:00,True,1.07104,1.07114,1.07094,1.07106,611
2024-06-26T05:15:00,True,1.07105,1.07109,1.07054,1.0706,281
2024-06-26T05:30:00,True,1.07058,1.07065,1.07038,1.07061,472
2024-06-26T05:45:00,True,1.0706,1.0706,1.07023,1.07038,540
2024-06-26T06:00:00,True,1.07037,1.07056,1.0702,1.07021,666
2024-06-26T06:15:00,True,1.0702,1.07046,1.06994,1.07016,828
2024-06-26T06:30:00,True,1.07016,1.07036,1.06952,1.06962,881
2024-06-26T06:45:00,True,1.06962,1.06995,1.06937,1.06948,788
2024-06-26T07:00:00,True,1.06949,1.0696,1.06897,1.06899,919
2024-06-26T07:15:00,True,1.06898,1.06913,1.06854,1.06884,860
2024-06-26T07:30:00,True,1.06884,1.06914,1.06858,1.0691,666
2024-06-26T07:45:00,True,1.06909,1.06954,1.06898,1.0694,814
2024-06-26T08:00:00,True,1.06938,1.06959,1.06924,1.06948,758
2024-06-26T08:15:00,True,1.06949,1.07,1.06945,1.06993,715
2024-06-26T08:30:00,True,1.0699,1.06994,1.06926,1.06939,1000
2024-06-26T08:45:00,True,1.0694,1.0695,1.06902,1.06949,1069
2024-06-26T09:00:00,True,1.06948,1.06995,1.06948,1.0698,973
2024-06-26T09:15:00,True,1.06977,1.06996,1.06963,1.0697,810
2024-06-26T09:30:00,True,1.0697,1.06972,1.06896,1.06898,899
2024-06-26T09:45:00,True,1.06898,1.06904,1.06882,1.06889,619
2024-06-26T10:00:00,True,1.06891,1.06892,1.06841,1.06844,622
2024-06-26T10:15:00,True,1.06844,1.06854,1.06821,1.06828,769
2024-06-26T10:30:00,True,1.0683,1.06878,1.06827,1.06845,666
2024-06-26T10:45:00,True,1.06844,1.06872,1.06836,1.0685,581
2024-06-26T11:00:00,True,1.0685,1.0687,1.06824,1.06844,885
2024-06-26T11:15:00,True,1.06844,1.06844,1.06808,1.0681,853
2024-06-26T11:30:00,True,1.06813,1.06851,1.06796,1.0685,675
2024-06-26T11:45:00,True,1.0685,1.06948,1.06823,1.06942,896
2024-06-26T12:00:00,True,1.06943,1.06946,1.06858,1.06866,1096
2024-06-26T12:15:00,True,1.06868,1.06935,1.06855,1.06865,1033
2024-06-26T12:30:00,True,1.06864,1.0687,1.06802,1.06838,1103
2024-06-26T12:45:00,True,1.06838,1.06841,1.0677,1.06772,1245
2024-06-26T13:00:00,True,1.06771,1.06824,1.06736,1.06749,1514
2024-06-26T13:15:00,True,1.06748,1.06749,1.06691,1.06703,1360
2024-06-26T13:30:00,True,1.06702,1.06766,1.0666,1.06731,1666
2024-06-26T13:45:00,True,1.0673,1.06814,1.06712,1.06749,1207
2024-06-26T14:00:00,True,1.06747,1.06862,1.06746,1.06862,1436
2024-06-26T14:15:00,True,1.06862,1.06884,1.06824,1.06847,1456
2024-06-26T14:30:00,True,1.06848,1.06928,1.06838,1.06904,1262
2024-06-26T14:45:00,True,1.06906,1.06959,1.06801,1.06802,1927
2024-06-26T15:00:00,True,1.06803,1.06834,1.06745,1.06771,1363
2024-06-26T15:15:00,True,1.0677,1.06823,1.06765,1.06823,913
2024-06-26T15:30:00,True,1.06821,1.06854,1.06807,1.06848,732
2024-06-26T15:45:00,True,1.0685,1.06875,1.06804,1.0682,713
2024-06-26T16:00:00,True,1.06821,1.06852,1.06794,1.06828,894
2024-06-26T16:15:00,True,1.06827,1.06874,1.06821,1.06862,672
2024-06-26T16:30:00,True,1.0686,1.06878,1.06845,1.06852,584
2024-06-26T16:45:00,True,1.06852,1.06854,1.06808,1.06821,703
2024-06-26T17:00:00,True,1.06822,1.06872,1.06814,1.06871,847
2024-06-26T17:15:00,True,1.0687,1.06889,1.06841,1.06888,578
2024-06-26T17:30:00,True,1.0689,1.06909,1.06861,1.06878,738
2024-06-26T17:45:00,True,1.06877,1.06885,1.06823,1.06857,899
2024-06-26T18:00:00,True,1.06856,1.06856,1.06818,1.06821,688
2024-06-26T18:15:00,True,1.06822,1.06826,1.06787,1.06794,388
2024-06-26T18:30:00,True,1.06796,1.06804,1.06784,1.06792,432
2024-06-26T18:45:00,True,1.06794,1.0681,1.06788,1.068,407
2024-06-26T19:00:00,True,1.068,1.068,1.0675,1.06764,347
2024-06-26T19:15:00,True,1.06765,1.0678,1.06756,1.0677,313
2024-06-26T19:30:00,True,1.06769,1.06787,1.06752,1.06786,225
2024-06-26T19:45:00,True,1.06784,1.06817,1.06776,1.06811,347
2024-06-26T20:00:00,True,1.0681,1.06816,1.06784,1.06784,222
2024-06-26T20:15:00,True,1.06784,1.06788,1.06777,1.0678,88
2024-06-26T20:30:00,True,1.06779,1.06794,1.06777,1.06786,90
2024-06-26T20:45:00,True,1.06784,1.06807,1.06784,1.06801,212
2024-06-26T21:00:00,True,1.06814,1.06814,1.06784,1.06788,69
2024-06-26T21:15:00,True,1.06788,1.0681,1.06788,1.06808,115
2024-06-26T21:30:00,True,1.06806,1.06812,1.06804,1.06808,92
2024-06-26T21:45:00,True,1.06808,1.06808,1.06796,1.06804,76
2024-06-26T22:00:00,True,1.06804,1.06821,1.06801,1.06821,162
2024-06-26T22:15:00,True,1.0682,1.06822,1.06798,1.06801,155
2024-06-26T22:30:00,True,1.06804,1.06806,1.06796,1.068,206
2024-06-26T22:45:00,True,1.06799,1.0681,1.06799,1.06807,98
2024-06-26T23:00:00,True,1.06807,1.06808,1.06777,1.06783,325
2024-06-26T23:15:00,True,1.06782,1.06805,1.06782,1.068,153
2024-06-26T23:30:00,True,1.068,1.06814,1.06799,1.06805,171
2024-06-26T23:45:00,True,1.06806,1.06814,1.06798,1.068,192
2024-06-27T00:00:00,True,1.06799,1.06805,1.06784,1.06804,902
2024-06-27T00:15:00,True,1.06804,1.06818,1.06794,1.06796,468
2024-06-27T00:30:00,True,1.06799,1.06811,1.06776,1.06784,487
2024-06-27T00:45:00,True,1.06782,1.06788,1.0677,1.06783,681
2024-06-27T01:00:00,True,1.06784,1.06819,1.06778,1.06814,574
2024-06-27T01:15:00,True,1.06813,1.0685,1.06807,1.06847,379
2024-06-27T01:30:00,True,1.06848,1.06865,1.06841,1.06844,387
2024-06-27T01:45:00,True,1.06844,1.06897,1.06844,1.06888,608
2024-06-27T02:00:00,True,1.06889,1.06916,1.06889,1.06894,649
2024-06-27T02:15:00,True,1.06894,1.06914,1.06882,1.06911,380
2024-06-27T02:30:00,True,1.06912,1.06913,1.06898,1.06904,237
2024-06-27T02:45:00,True,1.06904,1.06915,1.06882,1.06894,250
2024-06-27T03:00:00,True,1.06893,1.06897,1.06882,1.06892,293
2024-06-27T03:15:00,True,1.06892,1.06918,1.06888,1.06913,309
2024-06-27T03:30:00,True,1.06914,1.06925,1.06909,1.06912,189
2024-06-27T03:45:00,True,1.06914,1.06921,1.06906,1.06908,126
2024-06-27T04:00:00,True,1.06906,1.06924,1.06906,1.06916,192
2024-06-27T04:15:00,True,1.06918,1.06948,1.06918,1.06932,238
2024-06-27T04:30:00,True,1.06933,1.06933,1.06906,1.06918,243
2024-06-27T04:45:00,True,1.06919,1.06948,1.06919,1.06944,256
2024-06-27T05:00:00,True,1.06943,1.06944,1.06926,1.06928,420
2024-06-27T05:15:00,True,1.06928,1.06938,1.06921,1.06931,261
2024-06-27T05:30:00,True,1.06932,1.06956,1.06929,1.06954,382
2024-06-27T05:45:00,True,1.06955,1.06973,1.06938,1.06958,472
2024-06-27T06:00:00,True,1.06954,1.0697,1.06934,1.06946,706
2024-06-27T06:15:00,True,1.06945,1.06966,1.06932,1.06965,492
2024-06-27T06:30:00,True,1.06966,1.0699,1.06922,1.06929,763
